i,Variable,Definition
1141,MALE_COMP_4YR_TRANS_YR4_RT,Percent of male students who transferred to a 4-year institution and completed within 4 years
1142,MALE_COMP_2YR_TRANS_YR4_RT,Percent of male students who transferred to a 2-year institution and completed within 4 years
1143,MALE_WDRAW_ORIG_YR4_RT,Percent of male students withdrawn from original institution within 4 years
1144,MALE_WDRAW_4YR_TRANS_YR4_RT,Percent of male students who transferred to a 4-year institution and withdrew within 4 years
1145,MALE_WDRAW_2YR_TRANS_YR4_RT,Percent of male students who transferred to a 2-year institution and withdrew within 4 years
1146,MALE_ENRL_ORIG_YR4_RT,Percent of male students who were still enrolled at original institution within 4 years
1147,MALE_ENRL_4YR_TRANS_YR4_RT,Percent of male students who transferred to a 4-year institution and were still enrolled within 4 years
1148,MALE_ENRL_2YR_TRANS_YR4_RT,Percent of male students who transferred to a 2-year institution and were still enrolled within 4 years
1149,MALE_UNKN_ORIG_YR4_RT,Percent of male students with status unknown within 4 years at original institution
1150,MALE_UNKN_4YR_TRANS_YR4_RT,Percent of male students who transferred to a 4-year institution and whose status is unknown within 4 years
1151,MALE_UNKN_2YR_TRANS_YR4_RT,Percent of male students who transferred to a 2-year institution and whose status is unknown within 4 years
1152,PELL_DEATH_YR4_RT,Percent of students who received a Pell Grant at the institution and who died within 4 years at original institution
1153,PELL_COMP_ORIG_YR4_RT,Percent of students who received a Pell Grant at the institution and who completed in 4 years at original institution
1154,PELL_COMP_4YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 4 years
1155,PELL_COMP_2YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 4 years
1156,PELL_WDRAW_ORIG_YR4_RT,Percent of students who received a Pell Grant at the institution and withdrew from original institution within 4 years
1157,PELL_WDRAW_4YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 4 years
1158,PELL_WDRAW_2YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 4 years
1159,PELL_ENRL_ORIG_YR4_RT,Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 4 years
1160,PELL_ENRL_4YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 4 years
1161,PELL_ENRL_2YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 4 years
1162,PELL_UNKN_ORIG_YR4_RT,Percent of students who received a Pell Grant at the institution and with status unknown within 4 years at original institution
1163,PELL_UNKN_4YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 4 years
1164,PELL_UNKN_2YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 4 years
1165,NOPELL_DEATH_YR4_RT,Percent of students who never received a Pell Grant at the institution and who died within 4 years at original institution
1166,NOPELL_COMP_ORIG_YR4_RT,Percent of students who never received a Pell Grant at the institution and who completed in 4 years at original institution
1167,NOPELL_COMP_4YR_TRANS_YR4_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 4 years
1168,NOPELL_COMP_2YR_TRANS_YR4_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 4 years
1169,NOPELL_WDRAW_ORIG_YR4_RT,Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 4 years
1170,NOPELL_WDRAW_4YR_TRANS_YR4_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 4 years
1171,NOPELL_WDRAW_2YR_TRANS_YR4_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 4 years
1172,NOPELL_ENRL_ORIG_YR4_RT,Percent of students who never received a Pell Grant at the institution and who were still enrolled at original institution within 4 years
1173,NOPELL_ENRL_4YR_TRANS_YR4_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 4 years
1174,NOPELL_ENRL_2YR_TRANS_YR4_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 4 years
1175,NOPELL_UNKN_ORIG_YR4_RT,Percent of students who never received a Pell Grant at the institution and with status unknown within 4 years at original institution
1176,NOPELL_UNKN_4YR_TRANS_YR4_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 4 years
1177,NOPELL_UNKN_2YR_TRANS_YR4_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 4 years
1178,LOAN_DEATH_YR4_RT,Percent of students who received a federal loan at the institution and who died within 4 years at original institution
1179,LOAN_COMP_ORIG_YR4_RT,Percent of students who received a federal loan at the institution and who completed in 4 years at original institution
1180,LOAN_COMP_4YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and completed within 4 years
1181,LOAN_COMP_2YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 4 years
1182,LOAN_WDRAW_ORIG_YR4_RT,Percent of students who received a federal loan at the institution and withdrew from original institution within 4 years
1183,LOAN_WDRAW_4YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 4 years
1184,LOAN_WDRAW_2YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 4 years
1185,LOAN_ENRL_ORIG_YR4_RT,Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 4 years
1186,LOAN_ENRL_4YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 4 years
1187,LOAN_ENRL_2YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 4 years
1188,LOAN_UNKN_ORIG_YR4_RT,Percent of students who received a federal loan at the institution and with status unknown within 4 years at original institution
1189,LOAN_UNKN_4YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 4 years
1190,LOAN_UNKN_2YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 4 years
1191,NOLOAN_DEATH_YR4_RT,Percent of students who never received a federal loan at the institution and who died within 4 years at original institution
1192,NOLOAN_COMP_ORIG_YR4_RT,Percent of students who never received a federal loan at the institution and who completed in 4 years at original institution
1193,NOLOAN_COMP_4YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 4 years
1194,NOLOAN_COMP_2YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 4 years
1195,NOLOAN_WDRAW_ORIG_YR4_RT,Percent of students who never received a federal loan at the institution and withdrew from original institution within 4 years
1196,NOLOAN_WDRAW_4YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 4 years
1197,NOLOAN_WDRAW_2YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 4 years
1198,NOLOAN_ENRL_ORIG_YR4_RT,Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 4 years
1199,NOLOAN_ENRL_4YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 4 years
1200,NOLOAN_ENRL_2YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 4 years
1201,NOLOAN_UNKN_ORIG_YR4_RT,Percent of students who never received a federal loan at the institution and with status unknown within 4 years at original institution
1202,NOLOAN_UNKN_4YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 4 years
1203,NOLOAN_UNKN_2YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 4 years
1204,FIRSTGEN_DEATH_YR4_RT,Percent of first-generation students who died within 4 years at original institution
1205,FIRSTGEN_COMP_ORIG_YR4_RT,Percent of first-generation students who completed within 4 years at original institution
1206,FIRSTGEN_COMP_4YR_TRANS_YR4_RT,Percent of first-generation students who transferred to a 4-year institution and completed within 4 years
1207,FIRSTGEN_COMP_2YR_TRANS_YR4_RT,Percent of first-generation students who transferred to a 2-year institution and completed within 4 years
1208,FIRSTGEN_WDRAW_ORIG_YR4_RT,Percent of first-generation students withdrawn from original institution within 4 years
1209,FIRSTGEN_WDRAW_4YR_TRANS_YR4_RT,Percent of first-generation students who transferred to a 4-year institution and withdrew within 4 years
1210,FIRSTGEN_WDRAW_2YR_TRANS_YR4_RT,Percent of first-generation students who transferred to a 2-year institution and withdrew within 4 years
